Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,North East,8.9,9.2,9.5,10,10.1,10.4,10.88,11.34,11.26,11.25,11.58,12,12.18,12.36,12.47,12.96,13.14,13.29,13.63
B,North West,9.7,9.9,10.3,10.4,10.8,11.1,11.5,11.77,11.72,11.4,11.75,12.04,11.97,12.16,12.62,12.77,13.21,13.9,14.08
D,Yorkshire and The Humber,9.1,9.6,9.9,10.1,10.4,10.8,11.09,11.46,11.51,11.45,11.56,11.89,11.85,12,12.46,12.5,12.87,13.56,13.54
E,East Midlands,9.5,9.8,10,10.4,10.8,10.9,11.23,11.69,11.75,11.78,11.86,12.14,12.09,12.3,12.7,13.03,13.23,13.73,14.29
F,West Midlands,9.6,9.7,10.1,10.4,10.7,10.9,11.32,11.73,11.77,11.63,11.7,12.25,12.01,12.32,12.66,12.93,13.19,13.7,14.08
G,East,10.8,11.1,11.5,11.6,12,12.3,12.77,13.28,13.25,13.38,13.37,13.85,13.59,13.71,14.33,14.57,14.76,15.39,15.33
H,London,12.4,13,13,13.6,13.9,14.4,15.06,15.44,15.36,15.52,15.42,15.6,15.43,15.61,15.99,16.6,16.9,17.75,18.36
J,South East,11.5,12.1,12.2,12.4,12.8,13.3,13.82,14.08,14.37,14.59,14.54,14.61,14.75,14.88,15.14,15.39,15.81,16.49,16.61
K,South West,9.6,10,10.2,10.5,10.9,11.1,11.66,11.97,11.87,11.92,11.98,12.35,12.41,12.5,12.91,13.44,13.54,14.04,14.1
924,Wales,9.1,9.3,9.8,10,10.4,10.5,11.07,11.48,11.46,11.38,11.44,11.99,11.98,11.98,12.46,12.5,12.74,13.51,13.56
923,Scotland,9.7,9.8,10,10.3,10.7,11.3,11.65,12.01,12.14,12.21,12.46,12.84,12.94,13.28,13.4,13.72,13.97,14.7,15.25
922,Northern Ireland,8.6,8.8,9.2,9.7,9.9,9.7,10.05,10.7,10.36,10.47,10.67,10.95,10.82,11.34,11.33,11.55,12.02,12.38,12.38
941,England and Wales,10.2,10.5,10.8,11.1,11.4,11.7,12.25,12.62,12.63,12.64,12.73,13.05,13.01,13.19,13.57,13.91,14.21,14.8,15
926,United Kingdom,10.1,10.4,10.7,10.9,11.3,11.6,12.08,12.49,12.47,12.5,12.6,12.96,12.93,13.12,13.45,13.8,14.08,14.68,14.89
