Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
00AA,City of London,0.0,0.0,1.0,1.0,1.0,1.0,1,26.72,1,1,1,1,1,1,1,1,1,1,1
00AB,Barking and Dagenham,11.5,10.71,10.65,10.52,11.98,12.25,12.48,13.53,12.93,12.80,12.60,12.76,12.83,12.74,12.29,12.98,13.31,14.77,14.00
00AC,Barnet,13.5,14.8,15.0,15.4,14.1,14.9,15.76,16.33,17.47,16.47,15.58,16.59,16.23,16.63,15.13,16.76,17.05,16.77,16.97
00AD,Bexley,12.1,13.5,13.2,14.5,14.3,14.4,16.20,15.04,15.20,15.74,15.62,15.32,15.43,15.55,17.11,16.39,16.65,17.29,18.81
00AE,Brent,10.0,9.6,10.3,10.8,11.0,11.0,11.27,11.71,11.28,11.70,12.02,12.09,12.56,12.33,12.90,12.97,13.62,14.60,16.36
00AF,Bromley,14.8,15.9,15.5,16.1,16.7,16.3,17.36,17.98,17.79,18.11,18.70,18.39,19.16,18.06,18.83,19.97,20.43,20.89,21.25
00AG,Camden,14.8,15.7,14.0,15.8,17.6,17.8,18.69,19.32,18.14,18.48,19.18,19.91,19.52,18.33,19.21,19.41,20.44,20.56,19.59
00AH,Croydon,11.57,12.31,12.34,12.88,13.17,13.11,13.74,14.53,14.85,14.37,14.50,14.73,14.23,14.42,14.98,15.66,15.97,16.57,17.09
00AJ,Ealing,12.1,12.8,12.3,12.8,13.2,13.5,14.50,13.58,14.12,14.04,13.44,14.35,13.69,13.73,13.98,14.30,15.23,15.32,15.58
00AK,Enfield,11.1,11.6,11.6,12.8,12.1,12.9,12.50,13.22,12.88,13.49,13.12,13.05,13.25,13.39,12.91,14.37,12.92,14.29,14.94
00AL,Greenwich,12.2,13.2,13.1,12.7,13.0,13.5,15.34,15.27,14.41,14.80,14.86,15.01,15.18,16.14,15.89,16.04,16.86,17.39,17.37
00AM,Hackney,10.6,10.5,10.8,11.9,11.7,12.0,12.80,14.10,14.48,15.03,14.29,14.16,14.10,14.88,14.02,15.42,15.61,16.99,17.60
00AN,Hammersmith and Fulham,16.0,13.8,14.4,14.0,16.4,16.5,17.72,17.40,16.62,17.58,17.01,18.24,17.76,18.83,19.46,19.17,19.98,22.11,21.92
00AP,Haringey,10.5,11.8,12.0,12.8,13.2,12.5,13.09,13.27,13.23,13.27,14.00,13.20,13.01,14.29,14.57,15.35,16.57,16.87,17.03
00AQ,Harrow,11.2,11.9,12.2,12.7,13.6,14.2,16.32,16.67,16.25,15.58,14.92,14.44,15.64,15.91,16.94,16.62,16.71,18.49,20.00
00AR,Havering,12.8,12.7,13.5,13.8,13.9,14.4,16.00,15.34,14.26,15.16,15.02,14.39,14.57,15.63,15.83,15.39,16.77,17.24,17.37
00AS,Hillingdon,11.7,12.4,12.9,13.3,13.0,13.7,13.86,14.17,14.79,14.89,14.89,14.80,14.40,14.37,15.08,14.42,15.37,15.30,16.86
00AT,Hounslow,11.5,12.0,12.2,12.6,12.4,12.9,12.32,13.02,13.37,13.23,13.80,13.13,14.12,13.85,14.48,15.03,15.24,15.62,15.33
00AU,Islington,13.4,14.9,15.1,15.3,16.4,16.9,15.69,16.41,17.40,18.35,18.04,18.21,18.02,18.28,19.24,19.91,20.60,21.46,22.93
00AW,Kensington and Chelsea,25.8,26.2,27.2,28.2,25.9,26.2,26.06,29.63,32.10,29.32,22.87,24.14,1,1,1,23,20,1,23
00AX,Kingston upon Thames,14.5,14.1,13.0,14.7,14.9,18.1,17.37,18.32,16.69,19.51,18.41,19.00,18.77,18.59,18.38,18.36,20.78,21.77,21.07
