Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
00AA,City of London,0.0,0.0,0.0,0.0,1.0,1.0,0,7.06,1,1,1,0,0,1,0,0,1,1,0
00AB,Barking and Dagenham,6.92,6.92,6.64,7.02,7.45,7.48,7.97,9.42,8.04,8.10,8.01,8.52,8.50,8.76,8.66,8.92,9.26,10.14,10.10
00AC,Barnet,7.6,7.8,7.6,8.2,8.9,8.9,9.54,10.27,10.37,10.21,10.96,10.37,10.22,9.58,9.99,10.33,10.31,11.34,11.38
00AD,Bexley,6.9,7.6,7.3,8.4,7.6,7.8,8.01,8.57,8.43,8.50,8.78,8.36,8.93,9.13,10.00,10.21,10.19,10.93,11.31
00AE,Brent,6.1,6.1,6.7,6.9,7.2,7.2,7.36,7.37,7.55,7.74,7.75,7.85,8.07,8.39,8.56,9.34,9.55,10.21,10.54
00AF,Bromley,7.9,7.8,7.5,8.6,9.2,9.9,8.70,10.10,9.64,9.00,11.00,10.40,10.68,10.89,11.03,10.74,11.70,11.91,14.08
00AG,Camden,7.0,7.4,8.0,9.1,9.3,11.9,9.75,10.48,8.78,11.56,10.89,10.48,10.85,9.03,11.28,11.27,10.26,12.16,11.88
00AH,Croydon,6.79,7.28,7.27,7.83,8.25,7.96,8.08,8.58,9.01,8.52,9.00,9.12,9.15,8.88,9.59,9.75,10.26,10.31,11.00
00AJ,Ealing,6.7,7.8,7.1,7.8,8.6,7.8,8.49,8.69,9.36,8.60,8.93,9.07,9.32,8.96,9.39,9.89,10.00,10.71,11.13
00AK,Enfield,6.5,7.6,8.0,9.9,8.8,9.0,9.24,8.88,9.72,9.19,9.51,8.62,8.37,8.84,8.91,8.80,8.93,9.69,10.56
00AL,Greenwich,6.4,6.3,8.3,8.2,7.7,8.9,8.53,9.00,9.07,8.69,9.22,8.74,8.79,8.89,9.59,10.45,10.20,10.57,10.99
00AM,Hackney,6.4,6.8,6.7,7.1,7.5,8.2,7.40,8.01,8.09,7.83,8.17,8.50,9.21,8.52,9.31,9.69,9.73,10.40,10.55
00AN,Hammersmith and Fulham,7.9,7.8,9.1,7.6,10.7,8.8,8.83,9.58,8.02,9.21,9.79,9.59,9.22,10.20,10.73,10.27,10.01,14.22,1.00
00AP,Haringey,7.0,8.0,8.1,8.1,8.2,8.7,7.69,9.17,8.48,8.41,8.73,8.94,8.35,8.89,9.67,9.99,9.97,10.51,10.07
00AQ,Harrow,6.6,6.9,6.9,7.9,8.2,8.0,7.77,9.24,8.78,8.69,8.73,9.79,9.26,9.57,10.00,9.75,10.17,11.86,13.61
00AR,Havering,6.6,6.9,8.1,8.0,8.2,7.9,8.19,9.35,8.83,9.98,9.77,9.58,9.72,9.76,10.17,10.12,10.25,10.13,10.69
00AS,Hillingdon,7.3,7.1,7.0,7.5,8.3,8.0,8.04,9.00,9.16,9.15,8.75,8.61,8.68,9.14,9.70,9.95,10.31,10.48,11.05
00AT,Hounslow,7.0,8.4,8.3,7.9,7.9,8.6,8.66,8.62,8.78,8.71,7.92,10.00,8.55,8.92,9.40,9.87,9.70,10.00,10.75
00AU,Islington,7.5,7.8,7.1,8.1,10.6,1.0,10.64,9.58,9.87,10.44,10.19,9.62,9.78,9.95,10.38,10.46,11.94,12.58,13.27
00AW,Kensington and Chelsea,6.7,7.0,9.0,8.1,8.0,9.0,9.87,10.00,9.42,11.52,1,12.86,11.90,1.00,9.77,13.19,11.76,11.95,1.00
00AX,Kingston upon Thames,6.6,8.0,7.8,7.8,8.6,8.6,10.30,11.41,10.47,12.23,10.58,9.64,10.95,10.65,10.66,10.00,10.14,12.25,11.78
00AY,Lambeth,6.3,6.9,7.1,8.3,8.5,8.1,8.02,8.67,9.37,8.29,8.34,8.36,8.64,9.13,9.42,10.21,9.91,10.43,10.75
00AZ,Lewisham,7.4,7.8,8.0,7.3,8.0,8.7,8.49,8.78,9.52,8.95,9.39,9.31,9.49,9.60,9.95,10.48,10.40,10.55,11.12
00BA,Merton,7.2,7.4,8.5,8.4,8.4,10.0,9.91,8.49,8.67,9.21,8.99,9.09,10.47,8.98,8.62,9.71,9.74,10.93,10.62
00BB,Newham,6.0,6.7,6.6,6.9,7.2,6.9,6.99,7.00,7.06,7.12,7.54,7.41,7.50,7.99,8.50,8.50,9.19,9.65,10.04
00BC,Redbridge,6.5,7.2,7.0,7.8,8.3,8.9,9.32,9.44,8.93,9.48,9.00,9.45,8.74,9.61,10.10,9.94,9.75,10.00,10.84
00BD,Richmond upon Thames,9.2,10.1,10.3,10.1,11.4,12.3,11.90,12.74,11.42,13.49,13.86,13.05,12.12,12.23,14.91,17.55,14.52,13.17,14.39
00BE,Southwark,6.2,7.4,7.0,7.0,7.0,7.3,8.17,7.69,8.58,8.47,8.26,8.49,8.80,9.14,9.91,10.45,10.46,10.63,11.16
00BF,Sutton,6.8,7.8,7.0,8.0,9.0,8.8,9.41,10.02,9.25,9.01,10.00,10.66,10.29,9.67,10.43,9.94,10.52,11.82,10.99
00BG,Tower Hamlets,7.2,6.9,7.2,7.8,7.7,8.5,8.26,8.21,9.10,7.84,7.66,8.29,7.83,8.05,8.95,9.33,9.55,10.01,10.32
00BH,Waltham Forest,6.1,6.7,6.8,7.1,7.6,6.9,7.99,8.00,8.89,8.34,8.10,8.58,8.75,8.60,9.42,8.90,9.91,10.04,10.30
00BJ,Wandsworth,7.2,7.7,8.3,8.4,8.7,8.4,9.02,10.70,10.05,10.55,10.38,10.57,9.88,11.68,12.35,12.34,11.41,11.93,11.95
00BK,Westminster,6.5,7.6,7.4,7.3,1.0,9.3,1,8.04,8.63,9.01,8.46,8.92,8.98,10.09,10.33,10.03,10.26,10.51,11.44
A,North East,5.3,5.8,5.9,6.1,6.5,6.8,6.90,7.49,7.32,7.57,7.65,7.80,7.89,8.00,8.49,8.71,8.85,9.36,9.97
B,North West,5.5,5.9,6.1,6.4,6.7,6.9,7.14,7.46,7.56,7.54,7.81,7.87,7.98,8.18,8.46,8.74,9.02,9.63,10.00
D,Yorkshire and The Humber,5.4,5.8,6.0,6.4,6.6,7.0,7.00,7.41,7.56,7.57,7.65,7.94,7.99,8.17,8.50,8.70,9.00,9.57,9.94
E,East Midlands,5.4,5.8,6.1,6.3,6.7,7.0,7.12,7.50,7.49,7.65,7.75,7.88,8.00,8.06,8.52,8.80,8.99,9.55,10.02
F,West Midlands,5.5,5.9,6.1,6.5,6.7,7.0,7.25,7.64,7.82,7.75,7.82,8.00,8.18,8.17,8.54,8.78,9.09,9.56,10.10
G,East,5.8,6.2,6.4,6.8,7.1,7.4,7.58,7.98,8.05,8.11,8.05,8.34,8.40,8.49,8.83,9.12,9.39,10.00,10.51
H,London,6.8,7.4,7.5,8.0,8.3,8.4,8.50,8.93,9.00,8.94,8.98,9.03,9.06,9.22,9.75,9.97,10.13,10.60,11.10
J,South East,6.3,6.8,7.0,7.3,7.5,7.8,7.89,8.23,8.50,8.53,8.60,8.83,8.93,9.06,9.42,9.57,9.79,10.30,10.97
K,South West,5.8,6.1,6.4,6.8,7.2,7.4,7.63,7.93,8.12,8.00,8.15,8.36,8.34,8.57,9.05,9.19,9.47,10.00,10.54
