Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,North East,5.3,5.8,5.9,6.1,6.5,6.8,6.9,7.49,7.32,7.57,7.65,7.8,7.89,8,8.49,8.71,8.85,9.36,9.97
B,North West,5.5,5.9,6.1,6.4,6.7,6.9,7.14,7.46,7.56,7.54,7.81,7.87,7.98,8.18,8.46,8.74,9.02,9.63,10
D,Yorkshire and The Humber,5.4,5.8,6,6.4,6.6,7,7,7.41,7.56,7.57,7.65,7.94,7.99,8.17,8.5,8.7,9,9.57,9.94
E,East Midlands,5.4,5.8,6.1,6.3,6.7,7,7.12,7.5,7.49,7.65,7.75,7.88,8,8.06,8.52,8.8,8.99,9.55,10.02
F,West Midlands,5.5,5.9,6.1,6.5,6.7,7,7.25,7.64,7.82,7.75,7.82,8,8.18,8.17,8.54,8.78,9.09,9.56,10.1
G,East,5.8,6.2,6.4,6.8,7.1,7.4,7.58,7.98,8.05,8.11,8.05,8.34,8.4,8.49,8.83,9.12,9.39,10,10.51
H,London,6.8,7.4,7.5,8,8.3,8.4,8.5,8.93,9,8.94,8.98,9.03,9.06,9.22,9.75,9.97,10.13,10.6,11.1
J,South East,6.3,6.8,7,7.3,7.5,7.8,7.89,8.23,8.5,8.53,8.6,8.83,8.93,9.06,9.42,9.57,9.79,10.3,10.97
K,South West,5.8,6.1,6.4,6.8,7.2,7.4,7.63,7.93,8.12,8,8.15,8.36,8.34,8.57,9.05,9.19,9.47,10,10.54
924,Wales,5.5,5.9,6.2,6.5,6.7,6.9,7.21,7.5,7.5,7.5,7.61,7.88,8.02,8.12,8.59,8.82,8.99,9.51,10
923,Scotland,5.8,6.1,6.3,6.7,7,7.2,7.69,8.04,8.07,8.21,8.2,8.5,8.7,8.7,9.17,9.34,9.67,10.15,10.83
922,Northern Ireland,5.5,5.9,6.3,7.1,7.1,7.3,7.84,8,8,7.7,7.7,8,8,8.06,8.24,8.63,8.82,9.55,9.83
941,England and Wales,5.8,6.2,6.4,6.8,7,7.3,7.5,7.84,8,8,8.04,8.25,8.33,8.47,8.92,9.1,9.34,9.94,10.39
926,United Kingdom,5.7,6.1,6.3,6.7,7,7.3,7.5,7.84,7.98,7.99,8.02,8.26,8.34,8.47,8.9,9.09,9.33,9.94,10.39
