Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,North East,110.1,116.6,122.8,128.8,134.7,139.3,142.4,148.2,144.3,148.5,152.8,153.5,155.1,164.3,176,181.1,187.9,193.1,198.4
B,North West,116.9,125.6,129.1,133,136,141.3,144.3,150.9,150.6,151.2,155.2,155.5,157.5,164.5,173.6,178.4,185.6,197,198.2
D,Yorkshire and The Humber,113.8,119.9,124.7,130,132,142.4,145.4,149.3,150.6,150,155.3,159.1,163.2,168.3,173.5,181.6,185.1,196.6,195.5
E,East Midlands,109.7,117,128.3,126.9,135.1,138,140.2,147,147.6,149.8,151.8,153.8,155.3,159.9,175.3,179.4,180,188.2,199.2
F,West Midlands,112.3,117.2,125.4,130.7,133.6,141.3,139.9,148.9,154.2,150,153.6,160,161,161.9,174.8,181.2,186.8,195.5,203.8
G,East,113.7,119,128.8,128.7,136.8,142.7,145.3,152.6,152.8,154.2,152,161,159,161.9,173.7,181.8,187,198.6,203.2
H,London,133.1,143.6,149.3,150.2,153.5,158.9,159.3,164.5,166.5,160.3,161.9,169.9,164.8,172.6,183.4,186.9,192.2,198.8,207
J,South East,124.6,134.7,141.2,139.5,141.9,149.2,149.6,154.9,159,159,160.7,163.1,167.9,172.8,182.5,184.9,188.4,199.2,205.9
K,South West,114.1,120.8,129.3,131.8,138.3,143.6,149,152.3,154.9,152.1,154.7,156.3,158.4,165.7,175.6,179.4,183.9,196.6,196.5
924,Wales,115.2,121.6,128.7,132.2,136.4,140.8,147.4,151.7,152.1,151.8,150.9,157.8,163.3,168.5,179.4,183,183.8,197.4,209.3
923,Scotland,123,125.7,131.2,133.6,137.8,145.9,154.3,160.8,159,157,160.8,166.1,169.4,171.8,184.9,189.4,194.4,203.7,220
922,Northern Ireland,109.4,119.4,126.5,134.6,130.8,140.3,149.7,158.9,148.3,150.4,147.7,155.2,154.2,162.1,169.9,175.1,184.7,195,200.5
941,England and Wales,116.3,123.9,131.2,133.4,138.1,144,146.7,152.2,154.1,153.2,155.3,159.6,161,166.4,177.1,181.6,187.2,196.6,201.7
926,United Kingdom,116.2,122.8,130,132.3,137.5,143.6,147,152.7,153.7,153,155.2,159.8,161,166.5,177.1,182,187.3,196.9,202.8
