Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
00AA,City of London,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,1,1,0,0,186,0,0,1,1,0
00AB,Barking and Dagenham,153.4,128.7,130.4,133.3,144,148,151.9,203.7,155.3,168.9,150.4,174.2,143.4,152.3,163.6,160.3,187.3,194.4,208.6
00AC,Barnet,137.2,152.0,147.0,149.2,163.7,151.4,170.1,187.0,190.8,164.0,172.6,172.3,172.5,169.9,176.2,187.4,199.8,203.7,208.6
00AD,Bexley,132.0,158.4,145.3,159.0,147.1,137.8,148.1,159.2,167.1,172.3,166.5,175.7,169.5,179.8,207.0,188.1,196.3,209.2,200.1
00AE,Brent,118.1,108.0,126.4,120.0,121.8,118.8,140.1,125.7,143.2,134.5,146.5,157.3,156.3,162.5,172.2,179.3,196.4,200.8,193.3
00AF,Bromley,124.9,164.9,134.7,144.1,157.4,187.6,167.2,171.1,166.6,177.7,181.7,183.7,187.6,192.4,205.3,213.7,195.9,210.6,244.0
00AG,Camden,122.5,1.0,151.1,176.8,165.7,1.0,144.7,150.9,147.2,163.3,178.0,191.4,187.2,166.3,169.1,188.6,184.2,167.0,1.0
00AH,Croydon,129.2,134.7,153.1,149,147.7,154.5,149.6,171.9,171.7,166.1,174.5,178.8,165.5,178.1,176.3,197.6,194.2,189.1,194.4
00AJ,Ealing,135.6,163.0,133.0,125.5,161.9,136.4,161.6,150.2,160.8,140.4,150.0,173.4,168.1,157.6,172.3,187.6,185.3,188.4,189.3
00AK,Enfield,147.1,150.9,164.6,202.2,175.9,179.3,181.4,194.8,192.4,191.1,186.2,172.3,151.3,183.5,165.1,162.8,186.3,186.0,208.6
00AL,Greenwich,116.6,99.0,147.9,157.2,153.2,181.5,187.5,182.4,183.1,167.9,165.1,164.2,169.9,191.7,182.7,203.1,207.0,205.2,196.0
00AM,Hackney,119.8,138.5,152.3,133.0,150.6,142.2,140.2,132.0,149.8,140.0,153.5,158.9,155.9,150.4,149.6,169.1,143.7,174.2,180.9
00AN,Hammersmith and Fulham,170.0,157.4,181.3,137.4,157.3,1.0,166.9,154.6,170.2,1,137.1,159.1,189.6,171.3,171.7,164.7,169.7,208.3,259.0
00AP,Haringey,130.1,1.0,156.8,141.8,161.1,173.3,149.0,158.3,142.7,144.9,177.8,152.9,156.0,158.3,193.8,191.3,187.9,196.4,200.5
00AQ,Harrow,148.3,150.2,136.9,154.8,158.7,172.4,163.4,167.9,162.3,149.5,147.8,157.3,178.2,171.1,202.9,192.9,203.8,228.5,230.1
00AR,Havering,137.2,138.3,155.5,154.2,159.1,152.7,172.6,178.8,170.1,174.6,167.2,170.0,174.4,188.7,202.8,214.0,203.8,189.0,201.0
00AS,Hillingdon,147.8,141.8,159.6,136.8,146.4,173.9,153.4,163.6,178.0,169.0,155.5,175.4,178.3,172.8,194.0,200.2,219.6,210.6,224.6
00AT,Hounslow,101.4,135.2,122.1,142.6,143.0,156.6,146.3,155.5,163.1,161.5,149.5,169.3,159.5,158.0,179.1,186.4,189.3,187.4,219.8
00AU,Islington,1.0,173.4,161.0,1.0,148.4,140.2,199.4,167.0,168.1,184.8,211.6,207.1,194.3,178.1,202.9,191.4,212.4,252.4,240.0
00AW,Kensington and Chelsea,1.0,171.0,176.7,1.0,144.5,189.4,195.5,1,200.6,1,1,214.5,150.6,171.9,161.2,1.0,203.8,219.2,1.0
00AX,Kingston upon Thames,134.6,139.3,155.1,1.0,175.9,180.0,201.1,1,175.7,181.3,146.7,156.6,166.7,180.5,179.7,154.7,188.6,1.0,215.2
00AY,Lambeth,104.6,140.7,147.1,156.9,138.7,154.7,141.1,152.4,170.1,137.8,149.0,165.2,158.3,156.2,184.0,188.2,187.1,206.5,198.3
