Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,North East,7.6,7.9,8.2,8.6,8.8,9.2,9.5,9.96,10.08,10.16,10.35,10.7,10.77,11.06,11.22,11.57,11.74,12.07,12.35
B,North West,8.2,8.5,8.8,9.1,9.4,9.7,10.02,10.33,10.49,10.29,10.52,10.87,10.86,11.09,11.43,11.69,11.97,12.6,12.94
D,Yorkshire and The Humber,7.8,8.2,8.5,8.8,9.1,9.5,9.72,10.08,10.28,10.2,10.31,10.55,10.56,10.81,11.13,11.29,11.69,12.25,12.51
E,East Midlands,8,8.4,8.6,9,9.4,9.5,9.91,10.23,10.29,10.32,10.51,10.77,10.83,10.94,11.29,11.57,11.78,12.36,12.86
F,West Midlands,8.1,8.5,8.7,9.1,9.4,9.6,9.96,10.33,10.45,10.34,10.52,10.84,10.86,11.02,11.43,11.65,11.98,12.44,12.84
G,East,8.9,9.4,9.7,9.9,10.2,10.6,11,11.39,11.5,11.52,11.67,12.14,12,12.02,12.59,12.92,13.17,13.75,14.18
H,London,11.4,11.8,12.1,12.5,12.8,13.3,13.8,14.31,14.31,14.31,14.53,14.55,14.5,14.57,14.95,15.55,15.87,16.48,16.98
J,South East,9.7,10.1,10.4,10.5,10.9,11.3,11.79,12.16,12.35,12.49,12.69,12.74,12.94,13.13,13.43,13.67,14.04,14.53,14.8
K,South West,8,8.5,8.7,9,9.4,9.6,10.06,10.48,10.53,10.5,10.68,10.93,11,11.24,11.56,11.88,12.12,12.65,12.85
924,Wales,7.8,8.1,8.6,8.9,9.2,9.4,9.67,10.1,10.22,10.07,10.19,10.58,10.78,10.85,11.31,11.41,11.67,12.36,12.52
923,Scotland,8.3,8.5,8.8,9.2,9.5,10,10.39,10.86,11.01,11.05,11.15,11.55,11.72,11.97,12.27,12.55,12.88,13.42,14.21
922,Northern Ireland,7.7,8,8.3,8.8,9.1,9.1,9.54,10,9.78,9.93,10.07,10.3,10.2,10.63,10.81,11.06,11.45,11.83,11.99
941,England and Wales,8.7,9.1,9.4,9.7,10,10.3,10.72,11.1,11.23,11.18,11.37,11.67,11.68,11.83,12.23,12.51,12.81,13.35,13.74
926,United Kingdom,8.6,9,9.3,9.6,9.9,10.2,10.62,11.02,11.14,11.14,11.28,11.59,11.61,11.78,12.16,12.47,12.77,13.28,13.68
