Code,Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
00AA,City of London,0,0,1,1,1,1,1,762.4,1,1,1,1,1,1,1,1,909,1,1
00AB,Barking and Dagenham,383.3,354.9,360.1,375.1,417.6,446.7,449.9,448.8,429.3,452.1,450,441.2,422.5,436.6,462.2,461,479.1,471,500.4
00AC,Barnet,427.4,450.1,453.3,442.3,466.1,460,502.2,528.1,501.6,498.3,503.1,517.5,479.1,491,485.6,522.6,536.6,536.4,520.2
00AD,Bexley,405,431.9,438.1,452.4,443.4,469.8,483.9,486.3,518.1,505.1,509.1,497.9,512.6,491.1,487,513,512.7,553.4,568.3
00AE,Brent,368.4,359.8,395.5,394.7,398.7,421.6,437,439.1,423.1,414.9,442,441.8,441.8,457.6,467,471,479.9,524,540.7
00AF,Bromley,440.1,449.2,461.2,464.8,479.5,506.3,546,545.6,527.2,551.7,566.6,581.1,578.5,583.8,584.3,608,632.7,638.3,608.4
00AG,Camden,470.8,491.1,507.9,541,552.2,592.6,614.6,621.1,583,612,612,629.5,613.1,588.1,632.5,614.3,634.4,662,619.8
00AH,Croydon,405.3,406.4,413.3,421,441.6,454,481.6,496,515.5,481.7,493.2,481.4,499,492.2,512.3,538.5,550.6,561.7,564.8
00AJ,Ealing,431.5,448.5,444.2,437.8,452,465.3,504.1,498.9,494.5,486.6,495,502.1,498.4,495.7,498.3,517.2,524.3,532.2,574.9
00AK,Enfield,363.1,377.1,386,408.1,409.6,448.7,424.9,460.2,439.4,475.8,455.4,450.3,462.8,473.6,463.9,479.8,464.8,490.1,488.2
00AL,Greenwich,401.3,430.4,441.8,405,456.3,456.2,480.8,513.2,488.7,488,470.5,516.5,509.1,532.5,539.3,553,566,579.5,575.4
00AM,Hackney,387.1,395.2,411.1,432.1,428.8,451.1,472.6,503.7,501.3,517.4,511.4,519,513,534.5,527.8,558.1,555.4,574.9,579.7
00AN,Hammersmith and Fulham,492.8,498.3,512,490.7,545.7,546.2,584.8,585.1,596.9,594.1,613.3,610.7,609.9,646.7,641.9,651.1,682,728,710.7
00AP,Haringey,384.9,429.4,437.3,438.3,455,462.9,498.4,489.3,495.7,471.8,489.1,464.6,467.7,500,481.9,525.3,551.4,547.6,549.1
00AQ,Harrow,378.1,417.1,407.5,430.9,459.9,460.7,479.1,494.3,506.1,487.7,471.7,478.9,492.3,505.1,522.8,543.4,534.9,581.9,566.7
00AR,Havering,385.1,413.4,449.3,463.9,424.9,455.8,506.4,485.7,493.7,505.3,500.9,489.7,499.1,517.5,532.6,534.2,544.8,568.5,574.9
